row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260224 QC.mzdata.xml Peak area,20260224 SM1.mzdata.xml Peak area,20260224 SM1F20.mzdata.xml Peak area,20260224 SM2 F20.mzdata.xml Peak area,20260224 SM2.mzdata.xml Peak area,20260224 SM3 F20.mzdata.xml Peak area,20260224 SM3.mzdata.xml Peak area,20260224 SP1.mzdata.xml Peak area,20260224 SP2.mzdata.xml Peak area,20260224 SP3.mzdata.xml Peak area,
132,319.13538853787935,2.0602999,,,,,,,,,,,1031.3906,1037.1934,2180.5125,2771.0198,3086.2168,1647.322,2987.595,1407.1631,602.26294,2844.367,
133,618.3197128256563,2.066,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6087.2427,
134,345.15162385778814,2.0665998,,,,,,,,,,,275.01147,357.55377,1074.7996,1232.2352,2193.2283,3581.8286,1230.382,521.81696,145.97026,452.0872,
135,314.1795964453372,2.0699,,,,,,,,,,,392.26425,407.8946,947.459,1270.252,1740.5409,763.7298,1315.4814,659.7114,28.010015,1431.2124,
136,266.13806310258326,2.0752501,,,,,,,,,,,158.21545,0,0,3266.1062,202.81796,1838.7445,0,0,0,0,
137,210.15854723859496,2.125143,,,,,,,,,,,7489.2314,12385.088,366.61713,16237.596,66405.16,12265.013,62135.24,0,0,0,
138,349.2214218571413,2.13575,,,,13,,,,,,,136.12044,1365.0519,0,0,11232.245,0,11286.59,0,0,0,
139,367.2326902831105,2.144,,,,,,,,,,,286.29556,1468.3751,0,0,18440.85,0,17773.584,0,0,0,
140,791.4616463907797,2.1653333,,,,13,,,,,,,0,92.1202,0,0,5505.1943,0,8121.945,0,0,0,
141,340.19505010948274,2.1788,,,,,,,,,,,434.40985,548.1325,1210.0929,1364.38,1220.9355,999.7508,1110.3502,440.32394,10.879032,435.9867,
142,287.1096262941029,2.1825001,,,,,,,,,,,409.2883,0,0,0,0,0,0,1129.4484,883.61127,1584.0251,
143,153.13647977780263,2.1851666,,,,,,,,,,,335.15427,606.0193,0,661.91974,13343.046,228.53171,8230.665,0,0,0,
144,336.15221334378396,2.193,,,,,,,,,,,0,0,0,0,0,0,0,1226.5155,0,1457.2026,
145,326.2052719132105,2.216,,,,,,,,,,,0,0,0,0,0,0,0,10.026295,0,942.8564,
146,253.15301453521215,2.226,,,,,,,,,,,395.2391,0,50.050835,3339.2874,213.78629,1759.3145,0,0,0,0,
147,321.17930535851525,2.24,,,,,,,,,,,798.6406,0,66.959785,7747.8477,2030.7494,3710.0876,1158.0735,0,0,0,
148,571.2703839268552,2.246,,,,14,,,,,,,0,0,0,0,0,0,0,0,0,2554.6,
149,645.260338829823,2.246,,,,14,,,,,,,0,0,0,0,0,0,0,0,0,4182.148,
150,343.16295568017796,2.2475,,,,,,,,,,,0,0,0,1745.7125,0,343.06436,0,0,0,0,
151,243.1201901764713,2.2714999,,,,,,,,,,,335.30698,213.57758,0,121.83197,1333.1707,0,1588.6997,585.19604,114.44431,1349.3602,
152,120.04256016858024,2.2793999,,,,,,,,,,,0,69.65715,35.074883,214.36589,0,0,0,521.27527,0,906.1727,
153,160.13056775192953,2.2849998,,,,,,,,,,,0,74.7845,793.9327,602.98505,987.9581,119.99815,483.4212,0,0,0,
154,156.1008546990347,2.2884285,,,,15,,,,,,,27638.895,25260.303,50594.67,61806.184,275906.12,43859.195,216722.14,0,0,0,
155,112.07453467415283,2.2912858,,,,15,,,,,,,50567.645,48280.54,91778.23,113195.99,488779.75,83480.22,405706.72,0,0,0,
156,271.1748436095455,2.318,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2137.0615,
157,453.7173860747026,2.318,,,,,,,,,,,0,0,0,0,0,0,0,0,0,5850.023,
158,511.7482023358466,2.318,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2528.5408,
159,172.1315134759229,2.3546667,,,,,,,,,,,1772.6426,9251.832,0,1272.6375,27103.182,602.6334,59152.41,0,0,0,
160,227.137743589634,2.3637502,,,,,,,,,,,0,0,0,0,2834.8708,0,2422.0166,1250.06,0,3435.7183,
161,283.17405328494107,2.4269,,,,17,11,[M+H]+,,3,161;164;162,282.16679,35129.742,49681.42,83680.76,84430.055,96073.27,45208.44,78209.37,27362.053,15143.414,69370.1,
162,300.20058406630744,2.4269,,,,17,11,[M+NH4]+,,3,161;164;162,282.16679,32321.867,44645.055,68467.52,71316.89,90250.6,39973.8,72893.44,25518.521,14295.702,58131.793,
163,302.20548423077514,2.4269,,,,17,,,,,,,652.8678,871.60046,1442.1312,1388.0454,2003.832,900.61646,1505.7115,486.0872,214.47774,1329.1637,
164,305.15605375210924,2.4269,,,,17,11,[M+Na]+,,3,161;164;162,282.16679,49978.152,65729.12,104641.44,99941.266,103154.11,60352.684,93922.95,37859.527,19381.96,58584.11,
165,321.1309335659422,2.4269,,,,,,,,,,,1024.542,1071.1736,1926.4484,2552.004,3165.5771,896.0582,2759.4119,688.65076,328.8355,1516.6385,
166,243.132772145812,2.498,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2230.259,
167,257.18355639547826,2.4996667,,,,,,,,,,,214.32242,0,235.1495,806.4194,4107.434,639.35596,3907.232,0,0,0,
168,319.1354758597904,2.5175998,,,,18,12,[M+Na]+,,3,168;170;169,296.14639,10897.35,12165.9,21580.604,27395.588,22917.129,22303.902,22204.762,5055.8984,1929.8206,10890.344,
169,297.1537229981217,2.5247998,,,,18,12,[M+H]+,,3,168;170;169,296.14639,2824.2424,3833.0605,6309.4834,9029.121,6984.1323,6721.82,6797.5874,1139.5209,475.60602,3485.2087,
170,314.18029067644886,2.5247998,,,,18,12,[M+NH4]+,,3,168;170;169,296.14639,4885.7305,5748.902,8441.22,12624.598,8732.647,10495.399,9684.7295,2546.2354,963.0517,5204.2656,
171,172.13156394173907,2.533,,,,,,,,,,,2833.177,8029.921,0,1837.9489,56731.668,602.6334,44358.938,0,0,0,
172,392.22082026594086,2.642,,,,16,,,,,,,0,0,0,0,0,0,0,0,0,8705.149,
173,326.20547425584726,2.6434999,,,,16,,,,,,,0,0,0,0,0,0,0,2620.0361,0,9967.896,
174,367.23243406829084,2.677333,,,,,,,,,,,0,8.999338,0,0,1932.8514,0,12179.356,0,0,0,
175,372.1779909914646,2.678,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2043.0101,
176,213.15616535610013,2.6990001,,,,,,,,,,,0,53.30453,0,0,4835.2793,0,2438.0903,0,0,0,
177,287.19509510342016,2.7092,,,,,,,,,,,75.531296,0,0,3497.8943,12724.812,2132.1875,8815.828,0,0,0,
178,227.13766540685546,2.7846665,,,,,,,,,,,77.12736,238.84361,122.54049,44.505898,2340.1995,0,1803.7229,636.0555,74.034966,2209.1157,
179,236.17383154500547,2.842,,,,,,,,,,,0,0,0,0,4839.5864,0,2391.9995,0,0,0,
180,211.14206010027846,2.8564286,,,,,,,,,,,32.19838,30.157887,30.418259,926.3704,6321.709,863.2153,4400.8228,0,0,0,
181,243.11393675183578,2.86,,,,,,,,,,,0,0,759.0751,0,139.2665,0,90.21625,0,0,0,
182,244.22553734246273,2.888,,,,,,,,,,,0,0,0,0,0,0,0,0,0,774.30963,
183,670.3023100335184,2.888,,,,,,,,,,,0,0,0,0,0,0,0,0,0,15906.837,
184,145.09123626814332,2.9306667,,,,,,,,,,,0,1419.8345,0,0,1269.2992,0,608.68567,0,0,0,
185,244.16459163797762,2.941857,,,,,,,,,,,311.7879,3707.8435,795.0874,1366.0918,5514.7476,243.37119,4040.325,0,0,0,
186,455.21236330174935,2.95,,,,,,,,,,,0,0,0,0,0,0,0,0,0,31121.379,
187,255.1690620600348,2.963833,,,,,,,,,,,211.60838,0,27.4,2662.4658,562.16315,1751.3407,310.71582,0,0,0,
188,128.10538739975618,3.01575,,,,,,,,,,,0,0,0,0,6975.202,2177.0527,37061.805,0,2464.626,0,
189,592.270700861863,3.016,,,,,,,,,,,210.82822,0,0,0,0,0,0,709.5556,0,5486.8193,
190,284.1698612580852,3.0317998,,,,19,13,[M+NH4]+,,3,192;191;190,266.13596,854.8629,0,0,0,133.62047,0,0,3626.2668,1550.744,8638.116,
191,267.14288200849677,3.04775,,,,19,13,[M+H]+,,3,192;191;190,266.13596,213.6387,0,0,0,0,0,0,1794.7537,667.07745,4383.3584,
192,289.1254396767875,3.0534,,,,19,13,[M+Na]+,,3,192;191;190,266.13596,1325.4177,0,0,0,114.00919,0,0,6582.1655,2676.5059,10741.153,
193,365.1768917438644,3.0722003,,,,19,14,[M+Na]+,,2,194;193,342.18761,993.9899,372.17023,2011.6262,615.3487,2656.3381,43.222603,3067.025,5701.302,945.8506,15747.587,
194,360.2213609523858,3.0765998,,,,19,14,[M+NH4]+,,2,194;193,342.18761,2797.841,2055.352,2384.5737,1626.7083,5246.2817,69.639496,5451.6465,9240.485,3901.086,22780.715,
195,271.2003727598219,3.0773335,,,,,,,,,,,0,0,0,8.831615,2423.4573,0,1692.7207,0,0,0,
196,328.12076040778595,3.1355999,,,,,,,,,,,19.767315,0,0,2450.4524,2814.7415,552.82166,803.4824,0,0,0,
197,250.14144686710696,3.151,,,,,,,,,,,0,26.469671,299.9063,665.108,2688.479,689.5095,3052.91,0,0,0,
198,287.19483145775047,3.1815002,,,,,,,,,,,52.440666,0,211.74158,1820.3518,7992.035,1313.1313,6027.637,0,0,0,
199,230.1720191730912,3.2177997,,,,,,,,,,,9.288466,0,0,1472.4731,440.77368,1040.0957,123.97657,0,0,0,
200,280.15396506045175,3.2615001,,,,,,,,,,,0,0,0,526.3759,977.2636,52.635147,675.6411,0,0,0,
201,444.19692883619166,3.264,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1668.0304,
202,243.1689855818144,3.2705,,,,,,,,,,,87.00799,1170.0254,0,0,3890.706,0,3707.4214,0,0,0,
203,186.11161516227457,3.3014286,,,,,,,,,,,14550.646,27121.445,37278.168,56109.9,175021.75,22719.047,84992.6,0,0,0,
